taxiid,order,income,passenger.time,time.ave,dis.ave,speed.ave
20081,26,954.34,554,21.30769231,10.12820513,26.48160133
20137,16,653.533,313,19.5625,10.70291667,31.5755648
20156,31,956.4003333,586,18.90322581,8.168064516,25.96774404
20190,34,799.9376667,524,15.41176471,6.319901961,24.58828419
20192,18,567.684,400,22.22222222,8.324166667,20.76131777
20228,33,899.416,664,20.12121212,7.042727273,21.34994654
20232,35,866.7023333,614,17.54285714,6.25552381,22.54985409
20239,15,497.3683333,351,23.4,9.386666667,28.11611814
20276,27,622.024,466,17.25925926,6.346666667,24.05642849
20278,33,1061.953167,594,18,8.291868687,28.4262321
20338,24,630.0916667,454,18.91666667,7.034583333,24.93174534
20344,35,859.9733333,558,15.94285714,6.011380952,21.43452225
20370,9,284.2,205,22.77777778,8.627777778,23.7523549
20385,30,1142.833333,627,20.9,10.55011111,30.70487051
20439,38,880.58,562,14.78947368,5.875438596,22.85270163
20461,23,656.4466667,401,17.43478261,7.492028986,25.35135162
20466,13,531.232,270,20.76923077,11.25602564,26.97405179
20481,23,569.88,406,17.65217391,6.542753623,23.84009402
20489,31,943.9783333,614,19.80645161,8.21155914,25.0580138
20499,35,899.6976667,537,15.34285714,6.801142857,28.15299504
20519,23,561.6,448,19.47826087,6.465144928,21.6750582
20522,33,1095.002167,609,18.45454545,8.622676768,26.91584758
20525,17,555.3958333,264,15.52941176,8.00127451,32.00993264
20588,29,871.6548333,518,17.86206897,8.039137931,30.21463688
20680,37,790.8153333,476,12.86486486,5.268783784,26.4063923
20701,20,943.26,496,24.8,13.21166667,30.76868108
20712,29,646.185,451,15.55172414,5.394827586,20.65950377
20719,23,532.4483333,389,16.91304348,5.7,21.23746879
20722,27,723.2718333,450,16.66666667,6.737283951,24.06038576
20747,7,442.64,197,28.14285714,16.81666667,25.61909189
20811,31,793.75,552,17.80645161,6.40483871,21.21444994
20849,31,768.0443333,532,17.16129032,6.42672043,22.34466046
20860,16,516.7683333,265,16.5625,8.036979167,29.69313405
20933,26,868.9433333,519,19.96153846,9.062820513,26.56801709
20938,25,665.0976667,444,17.76,6.687933333,24.55883646
21056,41,1153.239667,691,16.85365854,7.11597561,23.79859864
21224,41,997.9688333,633,15.43902439,6.358943089,25.43918885
21514,17,616.918,437,25.70588235,10.2372549,25.80660122
21635,19,410.8463333,256,13.47368421,5.333508772,23.96438444
21975,32,945.8423333,557,17.40625,8.125416667,29.00709247
21983,22,731.7456667,414,18.81818182,9.161742424,30.5741385
22008,29,960.954,534,18.4137931,8.402586207,26.00089118
22107,11,562.9966667,240,21.81818182,14.16666667,38.17143969
23315,33,893.9656667,670,20.3030303,7.511565657,23.56059423
23465,22,777.758,341,15.5,9.590378788,30.74504805
23658,29,1009.2615,659,22.72413793,8.982528736,25.26698057
23914,22,901.0573333,542,24.63636364,11.27787879,26.39351658
24000,33,991.272,530,16.06060606,7.641111111,25.2408196
25297,28,747.9271667,557,19.89285714,6.613154762,21.06086091
25527,13,408.7845,317,24.38461538,8.20525641,22.17569062
25535,13,661.3,349,26.84615385,14.55,33.40101558
25570,25,1318.571333,617,24.68,14.30666667,30.17790802
25578,29,731.7148333,431,14.86206897,6.32683908,28.28547012
25702,28,759.954,486,17.35714286,7.363095238,25.81487001
25803,36,922.7693333,573,15.91666667,6.487314815,23.32692651
25841,25,887.2303333,610,24.4,10.5722,26.95780176
25891,27,967.5553333,560,20.74074074,8.893271605,25.66741652
25986,30,924.9688333,582,19.4,8.117555556,25.70390832
26024,31,927.5965,679,21.90322581,8.177580645,24.08994463
26061,21,715.3093333,458,21.80952381,9.173174603,27.38483926
26631,25,851.2191667,484,19.36,9.300933333,30.00735422
26633,26,703.4453333,418,16.07692308,6.54974359,25.81026322
26767,27,702.292,563,20.85185185,6.96382716,21.84767307
26924,29,903.046,562,19.37931034,8.476034483,23.87900736
27356,29,883.349,534,18.4137931,8.319022989,26.98269397
27491,28,965.6818333,599,21.39285714,9.171785714,27.4695406
27788,15,819.6018333,397,26.46666667,13.74666667,27.38666358
27818,19,405.68,228,12,5.502105263,28.89034458
27882,39,1037.302167,688,17.64102564,7.144017094,24.86464068
27939,30,981.3951667,592,19.73333333,9.201666667,27.3603157
28075,20,614.058,462,23.1,8.204833333,21.73529677
28114,26,1327.064833,599,23.03846154,14.19903846,34.63043932
28368,19,875.622,507,26.68421053,12.70578947,28.66098912
28454,33,963.7076667,628,19.03030303,7.606515152,22.79707512
28585,28,955.8206667,630,22.5,9.189642857,24.24774713
28619,13,701.2356667,303,23.30769231,15.16346154,37.1326009
